"SITE_SOURCE","SITE_ID","EASTING","NORTHING","RIVER_BASIN_DISTRICT","MANAGEMENT_CATCHMENT","OPERATIONAL_CATCHMENT","EA_AREA","ALTITUDE","SLOPE","DISTANCE_FROM_SOURCE","DISCHARGE_CATEGORY","WIDTH","DEPTH","BOULDER_COBBLES","PEBBLES_GRAVEL","SAND","SILT_CLAY","ALKALINITY","CONDUCTIVITY","TOTAL_HARDNESS","CALCIUM","DATE_ADDED","DATE_CHANGED"
"SWW","SC_1","263151","071681","South West","South Devon","Dart Start Bay and Torbay","Devon Cornwall and the Isles of Scilly",319,26.03550296,3.38,3,7,76.66666667,50,35,10,5,9.5481,NA,NA,NA,"08/09/2026 16:07",NA
"UU","AD002","398012","403443","North West","Upper Mersey","Goyt Etherow Tame","Greater Manchester Merseyside and Cheshire",145,7.86,17.68,4,8,30,20,60,20,0,NA,119.9,NA,NA,"08/09/2026 09:56",NA
"UU","65532","340386","403163","North West","Alt and Crossens","Alt","Greater Manchester Merseyside and Cheshire",27,4,NA,NA,2,9,NA,37,25,0,101.9,NA,NA,NA,"2026-09-09 09:56:05",NA
"UU","65615","347672","369859","North West","Weaver Gowy","Gowy","Greater Manchester Merseyside and Cheshire",13,2.5,NA,NA,1.6,15,NA,30,25,33,204.2,NA,NA,NA,"2026-09-09 09:56:05",NA
"UU","65773","356450","383915","North West","Weaver Gowy","Weaver Lower","Greater Manchester Merseyside and Cheshire",4,4.1,NA,NA,3.6,29.67,NA,2,67,32,149.2,NA,NA,NA,"2026-09-09 09:56:05",NA
"UU","65783","360200","396200","North West","Lower Mersey","Sankey","Greater Manchester Merseyside and Cheshire",24,3.3,NA,NA,3.6,21,NA,0,35,65,151.8,NA,NA,NA,"2026-09-09 09:56:05",NA
"UU","65947","368200","387500","North West","Weaver Gowy","Weaver Lower","Greater Manchester Merseyside and Cheshire",19,4.1,NA,NA,3.6,19.56,NA,48,17,12,151.1,NA,NA,NA,"2026-09-09 09:56:05",NA
"UU","66062","351400","370800","North West","Weaver Gowy","Gowy","Greater Manchester Merseyside and Cheshire",34.33,1.57,NA,NA,3,20,NA,20,80,0,187.3,NA,NA,NA,"2026-09-09 09:56:05",NA
"UU","66094","337529","415661","North West","Alt and Crossens","Crossens System","Cumbria and Lancashire",3,1,NA,NA,8.3,91.67,NA,0,0,100,111,NA,NA,NA,"2026-09-09 09:56:05",NA
"UU","66487","368212","387868","North West","Weaver Gowy","Weaver Lower","Greater Manchester Merseyside and Cheshire",17,5.8,NA,NA,2,60,NA,60,20,20,NA,420.2,NA,NA,"2026-09-09 09:56:05",NA
